id,Geographic Area Name,Population 16 years and over,Employed,In Armed Forces,Unemployed,Total households,Income Less than $10 000,Income $10 000 to $14 999,Income  $15 000 to $24 999,Income $25 000 to $34 999,Income $35 000 to $49 999,Income $50 000 to $74 999,Income $75 000 to $99 999,Income $100 000 to $149 999,Income !$150 000 to $199 999,Income $200 000 or more
1,"Albany County, New York",257424,158961,257,89339,125376,7079,6183,11138,10762,15607,22157,15499,20090,8928,7933
2,"Allegany County, New York",38905,20132,10,17167,18124,1212,1166,2328,1957,3264,3570,2374,1676,318,259
3,"Bronx County, New York",1128491,593858,344,456382,495356,68200,50015,66841,54262,64839,76405,45583,43273,15078,10860
4,"Broome County, New York",162540,87365,64,68354,78821,6155,5034,9370,8257,11160,14441,9679,9540,2906,2279
5,"Cattaraugus County, New York",62552,33732,47,26251,31723,2052,2297,4108,3873,4765,5954,3848,3503,821,502
6,"Cayuga County, New York",64592,37196,13,25043,31428,1856,1466,3309,3289,4582,6303,4036,4556,1226,805
7,"Chautauqua County, New York",106962,56416,61,45790,52983,4196,3833,7156,6035,8206,9772,6440,5370,1223,752
8,"Chemung County, New York",70073,37726,16,30200,34664,2653,1937,3977,3432,4888,6498,4416,4411,1321,1131
9,"Chenango County, New York",39777,21665,22,16535,20373,1217,1500,2577,2188,2979,4201,2507,2190,644,370
10,"Clinton County, New York",68228,36091,26,29898,31680,2081,1677,3486,3551,4285,6287,4210,3937,1494,672
11,"Columbia County, New York",51694,30164,3,19947,25470,1301,1038,2415,2633,3012,4780,3647,3732,1552,1360
12,"Cortland County, New York",40101,24251,8,14582,17925,919,1149,1819,1851,2795,3381,2582,2091,811,527
13,"Delaware County, New York",39157,19919,8,17715,19098,1363,1376,2562,2099,2490,4024,2142,2250,404,388
14,"Dutchess County, New York",245245,144934,144,89840,107384,4164,4424,7690,8081,11244,17775,14603,20406,10006,8991
15,"Erie County, New York",756762,448392,446,281886,386371,29307,23157,40270,37701,49577,67562,48711,54922,19665,15499
16,"Essex County, New York",32769,17544,10,13963,15257,636,846,1421,1740,2249,3004,2294,2127,610,330
17,"Franklin County, New York",42189,19960,9,20436,18956,1815,1351,1912,1745,2479,3959,2529,2095,613,458
18,"Fulton County, New York",44129,24239,7,17881,22535,1382,1275,2808,2806,3375,4360,2437,2922,705,465
19,"Genesee County, New York",48038,29386,0,17058,23951,1181,1497,2348,2434,3587,4698,3405,3248,1008,545
20,"Greene County, New York",40655,20009,30,19283,17106,981,1021,1791,1845,2428,2996,2331,2359,764,590
21,"Hamilton County, New York",4079,1991,1,1835,1095,63,78,106,106,142,278,126,132,41,23
22,"Herkimer County, New York",51266,28650,61,19996,25187,1523,1549,2990,2764,3961,4982,3407,2914,638,459
23,"Jefferson County, New York",90892,44883,10269,31853,43206,2973,2348,4181,4567,7377,8705,5524,5439,1215,877
24,"Kings County, New York",2088858,1217976,700,763206,944650,95091,66247,97905,84219,108275,142275,102648,123116,57077,67797
25,"Lewis County, New York",21272,11838,173,8293,10236,473,694,889,1318,1590,1975,1334,1346,335,282
26,"Livingston County, New York",54241,29390,17,23349,24432,1480,1285,2587,2483,3548,4669,3325,3618,847,590
27,"Madison County, New York",59377,33640,75,24120,26307,1443,1085,2557,2721,3412,5231,3643,4096,1223,896
28,"Monroe County, New York",608192,367859,171,214246,300496,20725,16331,30231,29269,40556,53308,37354,42456,16243,14023
29,"Montgomery County, New York",39440,21956,39,15705,19700,1513,1346,2626,2064,2766,3735,2350,2262,634,404
30,"Nassau County, New York",1102475,682063,498,384497,444136,12929,9847,23035,22548,34079,54394,52798,88160,59430,86916
31,"New York County, New York",1437692,906389,404,471128,758345,66351,42706,57933,47850,59289,91476,71132,106294,63019,152295
32,"Niagara County, New York",174916,100990,191,67044,87978,5734,5104,9818,9694,12494,15695,11366,11977,3928,2168
33,"Oneida County, New York",188425,102889,268,78706,90472,6082,5763,10187,10053,12022,17578,11426,11279,3494,2588
34,"Onondaga County, New York",378406,223207,331,139615,185840,13627,9454,17287,17459,24135,33561,23771,27416,10312,8818
35,"Ontario County, New York",89452,54398,34,32316,44269,1683,1799,4221,4298,6054,8023,6273,7231,2442,2245
36,"Orange County, New York",292199,174770,4322,102731,126460,5981,4890,10014,9288,13272,19693,16470,24935,12091,9826
37,"Orleans County, New York",34333,17976,26,15083,16214,940,886,2155,1681,2550,3561,1903,1799,446,293
38,"Oswego County, New York",97231,53211,116,38883,45881,3187,2404,4544,5145,6943,8677,6298,5894,1698,1091
39,"Otsego County, New York",52019,28545,17,21408,23627,1567,1304,2652,2388,3569,4759,2745,2925,1018,700
40,"Putnam County, New York",81754,51775,11,27042,34316,734,616,1972,1999,2386,4936,4601,7225,4835,5012
41,"Queens County, New York",1915787,1142363,588,687676,777904,48997,34723,71535,68147,94676,136090,101944,121191,56521,44080
42,"Rensselaer County, New York",131288,80468,135,45725,64456,3455,3161,5235,6066,8100,11683,8746,10672,4281,3057
43,"Richmond County, New York",383590,212253,229,158664,166150,13199,6315,12383,11027,15335,23737,20628,31519,17099,14908
44,"Rockland County, New York",245070,149868,78,85085,99935,3841,3660,7669,6306,8756,13270,11497,18758,11114,15064
45,"Saratoga County, New York",185143,117053,1563,60891,93129,3104,2676,6562,6202,10214,16321,13728,19139,8344,6839
46,"Schenectady County, New York",125442,73044,118,46547,53825,2803,3011,5038,4780,6724,9501,7661,8657,3444,2206
47,"Schoharie County, New York",26655,14198,11,11291,12539,637,775,1413,1420,1785,2432,1714,1509,513,341
48,"Schuyler County, New York",15019,8224,5,6153,7444,457,507,953,746,1179,1416,954,975,172,85
49,"Seneca County, New York",28610,15488,11,12319,13536,676,638,1686,1478,2021,2643,1870,1707,455,362
50,"St. Lawrence County, New York",90701,44013,171,42268,41638,2978,3001,5285,4585,5497,8142,5595,4561,1079,915
51,"Steuben County, New York",78595,43232,42,32086,40351,2384,2465,4554,4847,5869,8014,4988,4824,1306,1100
52,"Suffolk County, New York",1210227,744660,557,422146,489328,17231,12632,28601,28882,41608,70409,63091,98607,60105,68162
53,"Sullivan County, New York",61486,32610,49,25471,27679,1783,1579,3046,2921,3733,5180,3518,3495,1340,1084
54,"Tioga County, New York",39993,23012,9,15385,19996,820,1155,2187,2371,2235,3714,2722,3113,904,775
55,"Tompkins County, New York",90533,50390,20,37570,38986,4120,1915,3466,3787,4395,7036,4679,4845,2322,2421
56,"Ulster County, New York",151327,86552,135,57998,69662,3648,3880,6299,7043,8026,12774,8617,11026,4474,3875
57,"Warren County, New York",54254,32518,6,20098,27249,1213,1475,2410,2659,3698,5272,3834,4316,1309,1063
58,"Washington County, New York",51620,28741,50,20814,23988,1331,1335,2505,2414,3726,4807,3392,2991,972,515
59,"Wayne County, New York",73834,43209,35,27624,36578,1787,1791,3466,4492,5279,7640,5031,4740,1492,860
60,"Westchester County, New York",781159,479696,121,268240,345885,16498,11801,23585,22508,29793,45772,35953,57381,35041,67553
61,"Wyoming County, New York",33691,18372,4,14040,15686,751,779,1703,1551,2312,3387,2542,1931,516,214
62,"Yates County, New York",20155,11331,17,8082,9338,523,499,1129,1108,1282,1630,1169,1171,496,331
